isin,candidate,cpr_model,cdr_model,recovery,call,n_params,h,n_obs,E_fac,E_prin,E_cum,E_wal,E_dm,U,CRPS,COV,BIAS,STAB,S,win_share
ES0345672010,cpr_ma12|cdr_zero|rec_none|call_never,cpr_ma12,cdr_zero,rec_none,call_never,1,8,6,64.10951795,0.45612829,0.09649209,,,0.26865155,0.05218784,0.0,0.45612829,0.02957957,1.39153352,0.0
ES0345672010,cpr_ma12|cdr_zero|rec_none|call_never,cpr_ma12,cdr_zero,rec_none,call_never,1,12,6,61.25205577,2.30726263,0.07764204,,,0.34950561,0.01807344,0.0,2.30726263,0.02957957,1.39153352,0.0
ES0345672010,cpr_ma6|cdr_zero|rec_none|call_never,cpr_ma6,cdr_zero,rec_none,call_never,1,1,2,41.8047586,1.5561139,1.5561139,,,2.27270517,0.01148804,0.0,1.5561139,0.04432299,1.50131758,0.0
ES0345672010,cpr_ma6|cdr_zero|rec_none|call_never,cpr_ma6,cdr_zero,rec_none,call_never,1,4,2,137.16514784,2.44994551,1.10171502,0.02592829,4.18534875,2.69792553,0.0492998,0.0,2.44994551,0.04432299,1.50131758,0.0
ES0345672010,cpr_ma6|cdr_zero|rec_none|call_never,cpr_ma6,cdr_zero,rec_none,call_never,1,8,6,77.53201012,0.42754698,0.11669447,,,0.32489863,0.05539871,0.0,0.42754698,0.04432299,1.50131758,0.0
ES0345672010,cpr_ma6|cdr_zero|rec_none|call_never,cpr_ma6,cdr_zero,rec_none,call_never,1,12,6,43.38592094,2.25225808,0.05499524,,,0.24756104,0.02238202,0.0,2.25225808,0.04432299,1.50131758,0.0
ES0345672010,cpr_season|cdr_zero|rec_none|call_never,cpr_season,cdr_zero,rec_none,call_never,3,1,2,42.67589684,1.5885406,1.5885406,,,2.32006449,0.0122267,0.0,1.5885406,0.04969075,1.6906761,0.0
ES0345672010,cpr_season|cdr_zero|rec_none|call_never,cpr_season,cdr_zero,rec_none,call_never,3,4,2,142.48592164,2.5461969,1.14445166,0.02669804,4.3130368,2.80258113,0.08658455,0.0,2.5461969,0.04969075,1.6906761,0.0
ES0345672010,cpr_season|cdr_zero|rec_none|call_never,cpr_season,cdr_zero,rec_none,call_never,3,8,6,67.55435158,0.49369663,0.10167696,,,0.28319085,0.01941921,0.0,0.49369663,0.04969075,1.6906761,0.0
ES0345672010,cpr_season|cdr_zero|rec_none|call_never,cpr_season,cdr_zero,rec_none,call_never,3,12,6,67.71934357,2.46331556,0.08583986,,,0.38677582,0.02072279,0.0,2.46331556,0.04969075,1.6906761,0.0
ES0345672010,cpr_ewma|cdr_zero|rec_none|call_never,cpr_ewma,cdr_zero,rec_none,call_never,2,1,2,46.15614397,1.71808712,1.71808712,,,2.50926714,0.01363567,0.0,1.71808712,0.14421683,2.25551312,0.0
ES0345672010,cpr_ewma|cdr_zero|rec_none|call_never,cpr_ewma,cdr_zero,rec_none,call_never,2,4,2,152.88955966,2.64535235,1.22801402,0.02886312,4.67348099,3.00721176,0.06291691,0.0,2.64535235,0.14421683,2.25551312,0.0
ES0345672010,cpr_ewma|cdr_zero|rec_none|call_never,cpr_ewma,cdr_zero,rec_none,call_never,2,8,6,155.93830672,0.2566587,0.23470483,,,0.65346097,0.07852372,0.0,0.2566587,0.14421683,2.25551312,0.0
ES0345672010,cpr_ewma|cdr_zero|rec_none|call_never,cpr_ewma,cdr_zero,rec_none,call_never,2,12,6,62.06020774,1.9133816,0.07866644,,,0.35411694,0.05320444,0.0,1.9133816,0.14421683,2.25551312,0.0
