isin,payment_date,step,metric,p5,p25,p50,p75,p95
ES0377992005,2023-01-26,1,principal,9758166.91273431,9760346.98789145,10331157.12188895,10634798.31675618,10876505.58579365
ES0377992005,2023-01-26,1,balance,199187494.41420636,199429201.6832438,199732842.87811106,200303653.01210856,200305833.0872657
ES0377992005,2023-04-26,2,principal,9254984.48630581,9304766.54411309,9808127.12926761,10140776.79446692,10341588.18850551
ES0377992005,2023-04-26,2,balance,189391254.68960556,189621074.5539762,189932509.92790055,190165056.2927988,190998886.46799546
ES0377992005,2023-07-26,3,principal,8799815.11464446,8822992.67856948,9352507.21519995,9669598.9618028,9818030.10782674
ES0377992005,2023-07-26,3,balance,179803044.44614947,180591439.5749611,180812549.07759884,181109517.24933106,181329287.50619265
ES0377992005,2023-10-26,4,principal,8354311.55873299,8389069.09505409,8917955.28994331,9168935.13020656,9361950.16768267
ES0377992005,2023-10-26,4,balance,171448732.88741648,171450598.90991616,171940582.1191245,172202370.479907,172411332.21624935
ES0377992005,2024-01-26,5,principal,7964446.8421587,7999369.11565734,8456209.39095573,8717997.75173823,8916140.05451489
ES0377992005,2024-01-26,5,balance,162573383.4102048,163037996.70780572,163484372.72816876,163931970.8658025,164400466.8272478
ES0377992005,2024-04-26,6,principal,7553758.05982517,7596085.97820048,8028101.37912565,8313017.94936227,8477635.39010804
ES0377992005,2024-04-26,6,balance,154577862.19834593,155019625.35037962,155444048.1526672,155888286.7499683,156573525.25331068
ES0377992005,2024-07-26,7,principal,7182256.7013021,7221753.83305093,7655169.54287641,7926764.52325239,8048442.65562334
ES0377992005,2024-07-26,7,balance,146752131.04634112,147574465.06539968,147996213.43169117,148240897.1702129,148646760.73005828
ES0377992005,2024-10-28,8,principal,6818644.41420142,6856853.08092184,7310596.01246317,7525460.4349307,7674565.89986727
ES0377992005,2024-10-28,8,balance,139933486.6321397,140334925.45721072,140717611.98447785,140950261.93259364,141336164.7175951
ES0377992005,2025-01-27,9,principal,6501825.08547468,6537651.49761437,6912244.79082457,7124965.76089884,7306852.24947834
ES0377992005,2025-01-27,9,balance,132849148.48713008,133433113.79701659,133814448.0456492,134180813.93575975,134769166.04299352
ES0377992005,2025-04-28,10,principal,6182865.97414772,6225587.64040639,6571123.20263449,6812588.57889894,6939073.6345536
ES0377992005,2025-04-28,10,balance,126315494.80763385,126869359.29366925,127233319.97068898,127598324.7719571,128157814.17328851
ES0377992005,2025-07-28,11,principal,5877409.39924056,5910343.80134068,6265054.84704916,6488177.44329938,6587772.84713359
ES0377992005,2025-07-28,11,balance,120299121.95863628,120645547.12355539,120990336.19243088,121322911.84204575,121854884.99636103
ES0377992005,2025-10-27,12,principal,5588291.71837037,5612917.27471945,5966781.86041043,6161605.50342568,6289371.71986426
ES0377992005,2025-10-27,12,balance,114212531.47854748,114815852.76803078,115041162.81158476,115356129.98163532,115861940.16541848
ES0377992005,2026-01-26,13,principal,5328697.10270606,5353316.18783702,5664704.771116,5840073.39171016,5972806.34521286
ES0377992005,2026-01-26,13,balance,108607259.37258437,109083477.30597189,109514864.64643253,109829039.0420656,110297414.29644808
ES0377992005,2026-04-27,14,principal,5053976.4504742,5090699.31465486,5377862.24598149,5575479.53159313,5685949.11348658
ES0377992005,2026-04-27,14,balance,103390030.3084456,103718643.04855508,104129947.65169586,104428673.88832493,104886569.68233344
ES0377992005,2026-07-27,15,principal,4805469.14722344,4832396.87037896,5128098.58748458,5316480.08433982,5392192.37091892
ES0377992005,2026-07-27,15,balance,98186060.00145306,98737325.87473428,99021659.57429022,99304650.42324516,99740078.54907688
ES0377992005,2026-10-26,16,principal,4561163.72481397,4588298.72759998,4876477.10733811,5028995.70516114,5141091.95495085
ES0377992005,2026-10-26,16,balance,93482660.929925,93893582.87922338,94161918.36102243,94432048.48343305,94949840.73269741
ES0377992005,2027-01-26,17,principal,4354515.28110668,4380466.19537174,4636621.86543572,4793276.49528438,4894712.08617375
ES0377992005,2027-01-26,17,balance,88778328.30998646,89275802.78619286,89531915.70269571,89885983.39429481,90290917.14586516
ES0377992005,2027-04-26,18,principal,4130402.64722552,4165030.49705356,4395953.14838299,4558083.80038606,4648395.24513458
ES0377992005,2027-04-26,18,balance,84512713.12972726,84870012.11254725,85231019.83744156,85500985.77315724,85954496.19974679
ES0377992005,2027-07-26,19,principal,3927327.29097261,3955347.35981356,4191837.84431822,4346298.44215403,4418370.42716791
ES0377992005,2027-07-26,19,balance,80244215.6287201,80720053.40757994,81049853.78214839,81307460.96591038,81728057.81757486
ES0377992005,2027-10-26,20,principal,3728500.58261998,3759938.48921075,4001919.93030926,4123497.80695641,4213710.11782041
