isin,payment_date,step,metric,p5,p25,p50,p75,p95
ES0377992005,2027-10-26,20,balance,76415929.64323545,76819801.34075955,77063741.10158679,77284820.26160748,77708590.38583885
ES0377992005,2028-01-26,21,principal,3559878.46890619,3586107.18305865,3790030.43146051,3912657.45881706,4006439.96709361
ES0377992005,2028-01-26,21,balance,72656096.87129335,73026998.91839126,73282438.48604612,73571644.57242003,73919706.02177222
ES0377992005,2028-04-26,22,principal,3384836.93341875,3413494.53345419,3604142.67249692,3741116.29607581,3804740.86739717
ES0377992005,2028-04-26,22,balance,69071245.98628376,69395561.85333115,69679093.4087063,69962260.47161648,70355829.48766659
ES0377992005,2028-07-26,23,principal,3213472.84691549,3236788.9001565,3426887.33964945,3557124.46374844,3612215.34604399
ES0377992005,2028-07-26,23,balance,65674288.92844978,66050202.23704683,66260134.83767717,66541982.57085789,66904261.23305413
ES0377992005,2028-10-26,24,principal,3051663.11027468,3073788.09644392,3266688.63778621,3377416.39655075,3445426.15325242
ES0377992005,2028-10-26,24,balance,62452480.66259401,62821687.76759681,63070640.60037691,63258113.5148866,63624642.19300567
ES0377992005,2029-01-26,25,principal,2909934.94617159,2934635.68486293,3102197.60946434,3202151.62314931,3274929.99663815
ES0377992005,2029-01-26,25,balance,59381037.66288083,59720929.00696676,59975613.9751643,60220658.16330561,60557448.99169402
ES0377992005,2029-04-26,26,principal,2766328.68504995,2791181.2617663,2941238.81453023,3050098.56241904,3114299.95689214
ES0377992005,2029-04-26,26,balance,56466730.63106206,56793908.83739325,57025953.43618961,57275999.16841521,57607324.16781017
ES0377992005,2029-07-26,27,principal,2627648.31553787,2649606.95331934,2808964.71257069,2915564.36975992,2957103.69335889
ES0377992005,2029-07-26,27,balance,53690254.04369215,53997571.89008662,54245475.41795598,54465625.80258371,54755633.29925191
ES0377992005,2029-10-26,28,principal,2497375.20865629,2519035.35927925,2677555.85025111,2757432.25812048,2815817.37594942
ES0377992005,2029-10-26,28,balance,51111660.87400094,51398627.4186015,51576786.7765929,51788079.2688985,52078276.7540108
ES0377992005,2030-01-28,29,principal,2384573.75696608,2402554.47877934,2538892.1294607,2628157.22130283,2681558.03380356
ES0377992005,2030-01-28,29,balance,48539566.20834914,48875443.3730675,49084544.62507764,49300305.67164095,49583035.52459959
ES0377992005,2030-04-26,30,principal,2261721.95366857,2283829.30481889,2403801.93784493,2496015.75634157,2549508.31085296
ES0377992005,2030-04-26,30,balance,46156860.48166271,46467150.90626917,46676865.08972827,46881404.87994257,47216297.9675042
ES0377992005,2030-07-26,31,principal,2147905.20671215,2168565.91027421,2299397.65089248,2386739.63854626,2422307.36069207
ES0377992005,2030-07-26,31,balance,43887297.68547208,44192545.91115545,44386803.1876346,44616533.89312474,44885669.36994854
ES0377992005,2030-10-28,32,principal,2041586.00386374,2059145.8016776,2194255.80274063,2259444.08250445,2307308.79118393
ES0377992005,2030-10-28,32,balance,41784945.19451832,42024026.72305629,42203815.91770822,42388869.97499227,42678124.13828955
ES0377992005,2031-01-27,33,principal,1948746.15862899,1965874.30572736,2075354.81803899,2145056.40957894,2195556.92923649
ES0377992005,2031-01-27,33,balance,39722628.15092225,39964904.31616095,40136785.28182675,40341036.254646,40628877.16071558
ES0377992005,2031-04-28,34,principal,1851052.47572557,1872116.24812816,1975720.30069779,2048776.42842403,2086538.94744436
ES0377992005,2031-04-28,34,balance,37775161.06802726,37992209.44368441,38170576.59817587,38372621.58661076,38647258.73087586
ES0377992005,2031-07-28,35,principal,1757737.7288464,1773121.25740223,1878760.59581801,1951230.92534741,1981054.80394217
ES0377992005,2031-07-28,35,balance,35875012.61026243,36135161.41414011,36326531.35873163,36485814.87063249,36746547.98425115
ES0377992005,2031-10-27,36,principal,1668709.86952492,1685254.26249648,1791700.35522088,1854679.73797728,1888567.37320406
ES0377992005,2031-10-27,36,balance,34196404.61181297,34393283.22580758,34539956.29989108,34696313.04923187,34943478.45425765
ES0377992005,2032-01-26,37,principal,1593295.08484032,1609470.67561534,1698931.29949678,1752271.39720665,1794073.79324945
ES0377992005,2032-01-26,37,balance,32503724.63272047,32701342.34321667,32845534.5610939,33025634.04523951,33265602.68882304
ES0377992005,2032-04-26,38,principal,1515082.47718924,1532343.14277847,1617125.23418756,1678848.07913253,1709953.07950243
ES0377992005,2032-04-26,38,balance,30872875.42846915,31093819.1296885,31229818.4974023,31405158.38950235,31633886.02342289
ES0377992005,2032-07-26,39,principal,1436667.16655173,1451334.6424976,1536038.97596083,1598845.86495044,1623109.53440133
ES0377992005,2032-07-26,39,balance,29354836.10012884,29567810.42662214,29698104.94567634,29860946.36239523,30078564.26873478
ES0377992005,2032-10-26,40,principal,1364066.45841188,1377899.31810589,1462243.43411099,1512389.56236001,1546122.57852486
ES0377992005,2032-10-26,40,balance,27944701.04139186,28144612.49611375,28267635.59321964,28403978.16121872,28627654.31116141
ES0377992005,,0,dm_bp_at_price_ref,45.78184411,45.89736369,45.96220143,46.03634123,46.1397415
