isin,payment_date,step,metric,p5,p25,p50,p75,p95
XS0260784318,2026-10-20,1,principal,135243566.25,135243566.25,135243566.25,135243566.25,135243566.25
XS0260784318,2026-10-20,1,balance,0.0,0.0,0.0,0.0,0.0
XS0260784318,2027-01-20,2,principal,0.0,0.0,0.0,0.0,0.0
XS0260784318,2027-01-20,2,balance,0.0,0.0,0.0,0.0,0.0
XS0260784318,2027-04-20,3,principal,0.0,0.0,0.0,0.0,0.0
XS0260784318,2027-04-20,3,balance,0.0,0.0,0.0,0.0,0.0
XS0260784318,2027-07-20,4,principal,0.0,0.0,0.0,0.0,0.0
XS0260784318,2027-07-20,4,balance,0.0,0.0,0.0,0.0,0.0
XS0260784318,2027-10-20,5,principal,0.0,0.0,0.0,0.0,0.0
XS0260784318,2027-10-20,5,balance,0.0,0.0,0.0,0.0,0.0
XS0260784318,2028-01-20,6,principal,0.0,0.0,0.0,0.0,0.0
XS0260784318,2028-01-20,6,balance,0.0,0.0,0.0,0.0,0.0
XS0260784318,2028-04-20,7,principal,0.0,0.0,0.0,0.0,0.0
XS0260784318,2028-04-20,7,balance,0.0,0.0,0.0,0.0,0.0
XS0260784318,2028-07-20,8,principal,0.0,0.0,0.0,0.0,0.0
XS0260784318,2028-07-20,8,balance,0.0,0.0,0.0,0.0,0.0
XS0260784318,2028-10-20,9,principal,0.0,0.0,0.0,0.0,0.0
XS0260784318,2028-10-20,9,balance,0.0,0.0,0.0,0.0,0.0
XS0260784318,2029-01-22,10,principal,0.0,0.0,0.0,0.0,0.0
XS0260784318,2029-01-22,10,balance,0.0,0.0,0.0,0.0,0.0
XS0260784318,2029-04-20,11,principal,0.0,0.0,0.0,0.0,0.0
XS0260784318,2029-04-20,11,balance,0.0,0.0,0.0,0.0,0.0
XS0260784318,2029-07-20,12,principal,0.0,0.0,0.0,0.0,0.0
XS0260784318,2029-07-20,12,balance,0.0,0.0,0.0,0.0,0.0
XS0260784318,2029-10-22,13,principal,0.0,0.0,0.0,0.0,0.0
XS0260784318,2029-10-22,13,balance,0.0,0.0,0.0,0.0,0.0
XS0260784318,2030-01-21,14,principal,0.0,0.0,0.0,0.0,0.0
XS0260784318,2030-01-21,14,balance,0.0,0.0,0.0,0.0,0.0
XS0260784318,2030-04-23,15,principal,0.0,0.0,0.0,0.0,0.0
XS0260784318,2030-04-23,15,balance,0.0,0.0,0.0,0.0,0.0
XS0260784318,2030-07-22,16,principal,0.0,0.0,0.0,0.0,0.0
XS0260784318,2030-07-22,16,balance,0.0,0.0,0.0,0.0,0.0
