isin,rank,S,S_smooth,C_filing,cpr_cfg_initial,cdr_cfg_initial,seam_level,seam_slope,roughness,terminal,prepay,default,severity,lag_m,advancing,call,trigger,wac,wam_m,index_shift,first_ipd_rate_annual,wal_years,dm_bp_at_ref,last_cf_date,state_mode
ES0345672010,1,3.07484739,3.07484739,0.0,0.0,0.05,0.56909193,1.65368336,0.12772277,0.0,CPR 0,CDR 0.05,0.2,24,1,maturity,as_filed,0.03,300.0,0.0,0.02660061,11.05067164,26.6793763,2050-01-17,proxy
ES0345672010,2,3.07484739,3.07484739,0.0,0.0,0.05,0.56909193,1.65368336,0.12772277,0.0,CPR 0,CDR 0.05,0.35,24,1,maturity,as_filed,0.03,300.0,0.0,0.02660061,11.05682614,26.67207047,2050-01-17,proxy
ES0345672010,3,3.07484739,3.07484739,0.0,0.0,0.05,0.56909193,1.65368336,0.12772277,0.0,CPR 0,CDR 0.05,0.5,24,1,maturity,as_filed,0.03,300.0,0.0,0.02660061,11.12029797,26.59663337,2050-01-17,proxy
ES0345672010,4,3.08931147,3.08931147,0.0,0.0,0.05,0.56909193,1.65368336,0.17543428,0.0,CPR 0,CDR 0.05,0.2,12,1,maturity,as_filed,0.03,300.0,0.0,0.02660061,10.26098638,27.72926668,2050-01-17,proxy
ES0345672010,5,3.08931147,3.08931147,0.0,0.0,0.05,0.56909193,1.65368336,0.17543428,0.0,CPR 0,CDR 0.05,0.35,12,1,maturity,as_filed,0.03,300.0,0.0,0.02660061,10.26251283,27.72717186,2050-01-17,proxy
ES0345672010,6,3.08931147,3.08931147,0.0,0.0,0.05,0.56909193,1.65368336,0.17543428,0.0,CPR 0,CDR 0.05,0.5,12,1,maturity,as_filed,0.03,300.0,0.0,0.02660061,10.27569189,27.70903707,2050-01-17,proxy
ES0345672010,7,3.09797868,3.09797868,0.0,0.0,0.03,0.5706558,1.66331598,0.0755685,0.0,CPR 0,CDR 0.03,0.2,24,1,maturity,as_filed,0.03,300.0,0.0,0.02669217,12.10810662,25.48412539,2050-01-17,proxy
ES0345672010,8,3.09797868,3.09797868,0.0,0.0,0.03,0.5706558,1.66331598,0.0755685,0.0,CPR 0,CDR 0.03,0.35,24,1,maturity,as_filed,0.03,300.0,0.0,0.02669217,12.11054258,25.48171245,2050-01-17,proxy
ES0345672010,9,3.09797868,3.09797868,0.0,0.0,0.03,0.5706558,1.66331598,0.0755685,0.0,CPR 0,CDR 0.03,0.5,24,1,maturity,as_filed,0.03,300.0,0.0,0.02669217,12.11502863,25.4772678,2050-01-17,proxy
ES0345672010,10,3.09837887,3.09837887,0.0,0.0,0.05,0.56909193,1.65368336,0.19961109,0.0,CPR 0,CDR 0.05,0.5,24,0,maturity,as_filed,0.03,300.0,0.0,0.02660061,10.87493265,26.89905863,2050-01-17,proxy
ES0345672010,11,3.09848577,3.09848577,0.0,0.0,0.05,0.56909193,1.65368336,0.19987869,0.0,CPR 0,CDR 0.05,0.2,12,0,maturity,as_filed,0.03,300.0,0.0,0.02660061,9.93671926,28.2003343,2050-01-17,proxy
ES0345672010,12,3.09848577,3.09848577,0.0,0.0,0.05,0.56909193,1.65368336,0.19987869,0.0,CPR 0,CDR 0.05,0.35,12,0,maturity,as_filed,0.03,300.0,0.0,0.02660061,9.93842277,28.19784798,2050-01-17,proxy
ES0345672010,13,3.09848577,3.09848577,0.0,0.0,0.05,0.56909193,1.65368336,0.19987869,0.0,CPR 0,CDR 0.05,0.5,12,0,maturity,as_filed,0.03,300.0,0.0,0.02660061,9.97325151,28.14676339,2050-01-17,proxy
ES0345672010,14,3.10069814,3.10069814,0.0,0.0,0.05,0.56909193,1.65368336,0.2053384,0.0,CPR 0,CDR 0.05,0.2,24,0,maturity,as_filed,0.03,300.0,0.0,0.02660061,10.41854136,27.4929794,2050-01-17,proxy
ES0345672010,15,3.10069814,3.10069814,0.0,0.0,0.05,0.56909193,1.65368336,0.2053384,0.0,CPR 0,CDR 0.05,0.35,24,0,maturity,as_filed,0.03,300.0,0.0,0.02660061,10.42756742,27.48097667,2050-01-17,proxy
ES0345672010,16,3.10315833,3.10315833,0.0,0.0,0.03,0.5706558,1.66331598,0.10435634,0.0,CPR 0,CDR 0.03,0.2,12,1,maturity,as_filed,0.03,300.0,0.0,0.02669217,11.56689645,26.06677268,2050-01-17,proxy
