isin,rank,S,S_smooth,C_filing,cpr_cfg_initial,cdr_cfg_initial,seam_level,seam_slope,roughness,terminal,prepay,default,severity,lag_m,advancing,call,trigger,wac,wam_m,index_shift,first_ipd_rate_annual,wal_years,dm_bp_at_ref,last_cf_date,state_mode
XS0260784318,21,0.75022347,0.1908067,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07999572,0.0,CPR 0.06,SDA 50,0.5,12,1,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.2736595,59.27211781,2059-07-21,pool
XS0260784318,22,0.75022347,0.1908067,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07999572,0.0,CPR 0.06,SDA 50,0.5,12,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.2736595,59.27211781,2059-07-21,pool
XS0260784318,23,0.75022347,0.1908067,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07999572,0.0,PSA 100,SDA 50,0.2,12,1,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27361449,59.27227623,2059-07-21,pool
XS0260784318,24,0.75022347,0.1908067,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07999572,0.0,PSA 100,SDA 50,0.2,12,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27361449,59.27227623,2059-07-21,pool
XS0260784318,25,0.75022347,0.1908067,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07999572,0.0,PSA 100,SDA 50,0.35,12,1,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27363699,59.27219702,2059-07-21,pool
XS0260784318,26,0.75022347,0.1908067,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07999572,0.0,PSA 100,SDA 50,0.35,12,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27363699,59.27219702,2059-07-21,pool
XS0260784318,27,0.75022347,0.1908067,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07999572,0.0,PSA 100,SDA 50,0.5,12,1,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.2736595,59.27211781,2059-07-21,pool
XS0260784318,28,0.75022347,0.1908067,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07999572,0.0,PSA 100,SDA 50,0.5,12,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.2736595,59.27211781,2059-07-21,pool
XS0260784318,29,0.75022913,0.19081236,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.08003108,0.0,CPR 0.06,SDA 50,0.2,24,0,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27378295,59.27030806,2059-07-21,pool
XS0260784318,30,0.75022913,0.19081236,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.08003108,0.0,CPR 0.06,SDA 50,0.2,24,0,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27378295,59.27030806,2059-07-21,pool
XS0260784318,31,0.75022913,0.19081236,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.08003108,0.0,CPR 0.06,SDA 50,0.35,24,0,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27384832,59.27007911,2059-07-21,pool
XS0260784318,32,0.75022913,0.19081236,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.08003108,0.0,CPR 0.06,SDA 50,0.35,24,0,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27384832,59.27007911,2059-07-21,pool
XS0260784318,33,0.75022913,0.19081236,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.08003108,0.0,CPR 0.06,SDA 50,0.5,24,0,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27391369,59.26985017,2059-07-21,pool
XS0260784318,34,0.75022913,0.19081236,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.08003108,0.0,CPR 0.06,SDA 50,0.5,24,0,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27391369,59.26985017,2059-07-21,pool
XS0260784318,35,0.75022913,0.19081236,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.08003108,0.0,PSA 100,SDA 50,0.2,24,0,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27378295,59.27030806,2059-07-21,pool
XS0260784318,36,0.75022913,0.19081236,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.08003108,0.0,PSA 100,SDA 50,0.2,24,0,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27378295,59.27030806,2059-07-21,pool
XS0260784318,37,0.75022913,0.19081236,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.08003108,0.0,PSA 100,SDA 50,0.35,24,0,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27384832,59.27007911,2059-07-21,pool
XS0260784318,38,0.75022913,0.19081236,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.08003108,0.0,PSA 100,SDA 50,0.35,24,0,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27384832,59.27007911,2059-07-21,pool
XS0260784318,39,0.75022913,0.19081236,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.08003108,0.0,PSA 100,SDA 50,0.5,24,0,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27391369,59.26985017,2059-07-21,pool
