isin,dimension,value,best_S,median_S,n
ES0380957003,prepay,ABS,4689.15848899,4689.15848899,4887
ES0380957003,prepay,CPR,0.35964409,22.89999567,21177
ES0380957003,prepay,PSA,1.23043836,11.76845156,9774
ES0380957003,prepay_setting,ABS 0.005,4689.15848899,4689.15848899,1629
ES0380957003,prepay_setting,ABS 0.01,4689.15848899,4689.15848899,1629
ES0380957003,prepay_setting,ABS 0.015,4689.15848899,4689.15848899,1629
ES0380957003,prepay_setting,CPR 0,28.19916875,28.3272291,1629
ES0380957003,prepay_setting,CPR 0.02,15.47247851,15.97099874,1629
ES0380957003,prepay_setting,CPR 0.04,6.58613975,7.77120661,1629
ES0380957003,prepay_setting,CPR 0.06,1.53903965,2.52206704,1629
ES0380957003,prepay_setting,CPR 0.08,0.35964409,1.82644959,1629
ES0380957003,prepay_setting,CPR 0.1,3.0809891,5.73041875,1629
ES0380957003,prepay_setting,CPR 0.12,9.74478037,13.8148349,1629
ES0380957003,prepay_setting,CPR 0.14,20.40901206,22.89999567,1629
ES0380957003,prepay_setting,CPR 0.16,35.15430597,37.57792378,1629
ES0380957003,prepay_setting,CPR 0.18,54.09551768,59.65309329,1629
ES0380957003,prepay_setting,CPR 0.2,75.14376505,86.33039833,1629
ES0380957003,prepay_setting,CPR 0.25,142.73361748,147.52094389,1629
ES0380957003,prepay_setting,CPR 0.3,233.2848075,245.47935647,1629
ES0380957003,prepay_setting,PSA 100,1.53903965,2.52206704,1629
ES0380957003,prepay_setting,PSA 150,1.23043836,2.62402124,1629
ES0380957003,prepay_setting,PSA 200,9.74478037,13.8148349,1629
ES0380957003,prepay_setting,PSA 300,54.09551768,59.65309329,1629
ES0380957003,prepay_setting,PSA 400,127.37966345,141.88288936,1629
ES0380957003,prepay_setting,PSA 50,10.54847632,11.56938252,1629
ES0380957003,default,CDR,0.35964409,28.20169603,21384
ES0380957003,default,SDA,0.43353292,26.24368222,14256
ES0380957003,default,none,0.43581352,26.24302239,198
ES0380957003,severity,0.0,0.43581352,26.24302239,198
ES0380957003,severity,0.2,0.35964409,28.19925654,11880
ES0380957003,severity,0.35,0.35964409,28.19925816,11880
ES0380957003,severity,0.5,0.35964409,28.19925654,11880
ES0380957003,lag_m,0,0.43581352,26.24302239,198
ES0380957003,lag_m,12,0.42994634,28.19923488,11880
ES0380957003,lag_m,24,0.35964409,28.19921415,11880
ES0380957003,lag_m,6,0.43902326,28.2004186,11880
ES0380957003,advancing,0,0.35964409,28.19925624,18018
ES0380957003,advancing,1,0.35964409,28.19925542,17820
ES0380957003,call,call_date,0.35964409,27.00259222,11946
ES0380957003,call,clean_up,0.35964409,28.19933727,11946
ES0380957003,call,maturity,0.9747537,28.22375333,11946
ES0380957003,trigger,as_filed,0.35964409,28.19924758,11946
ES0380957003,trigger,force_pro_rata,6.34961659,33.52099111,11946
ES0380957003,trigger,force_sequential,0.35964409,28.19924758,11946
ES0380957003,wac,0.0326,0.35964409,28.19925624,35838
ES0380957003,wam_m,240.0,0.35964409,28.19925624,35838
