isin,dimension,value,best_S,median_S,n
ES0377992005,prepay,ABS,6.34981266,809.13948584,6516
ES0377992005,prepay,CPR,0.02654306,32.35205936,28236
ES0377992005,prepay,PSA,0.37685231,24.83763495,13032
ES0377992005,prepay_setting,ABS 0.005,6.34981266,28.83191298,2172
ES0377992005,prepay_setting,ABS 0.01,28.77764935,1590.22559731,2172
ES0377992005,prepay_setting,ABS 0.015,266.15552045,1404.53451986,2172
ES0377992005,prepay_setting,CPR 0,38.62545218,81.32319899,2172
ES0377992005,prepay_setting,CPR 0.02,26.46171762,62.80514036,2172
ES0377992005,prepay_setting,CPR 0.04,16.63966818,46.65058503,2172
ES0377992005,prepay_setting,CPR 0.06,9.27355138,33.23734617,2172
ES0377992005,prepay_setting,CPR 0.08,4.48082275,22.19684064,2172
ES0377992005,prepay_setting,CPR 0.1,2.38353291,12.73691692,2172
ES0377992005,prepay_setting,CPR 0.12,0.72342271,6.32998903,2172
ES0377992005,prepay_setting,CPR 0.14,0.02654306,2.39538465,2172
ES0377992005,prepay_setting,CPR 0.16,0.0513889,2.29243929,2172
ES0377992005,prepay_setting,CPR 0.18,1.09933286,6.42613588,2172
ES0377992005,prepay_setting,CPR 0.2,5.46251961,14.04247783,2172
ES0377992005,prepay_setting,CPR 0.25,32.32445334,49.4219257,2172
ES0377992005,prepay_setting,CPR 0.3,84.81933049,109.15081278,2172
ES0377992005,prepay_setting,PSA 100,11.01686468,38.4154973,2172
ES0377992005,prepay_setting,PSA 150,3.60591373,22.66679005,2172
ES0377992005,prepay_setting,PSA 200,0.80961573,10.80729185,2172
ES0377992005,prepay_setting,PSA 300,0.37685231,2.51629956,2172
ES0377992005,prepay_setting,PSA 400,8.64029858,21.80289754,2172
ES0377992005,prepay_setting,PSA 50,22.77657632,57.38143118,2172
ES0377992005,default,CDR,0.04305385,33.11194035,28512
ES0377992005,default,SDA,0.02654306,33.90748454,19008
ES0377992005,default,none,0.74930493,29.39158215,264
ES0377992005,severity,0.0,0.74930493,29.39158215,264
ES0377992005,severity,0.2,0.02654306,34.22300224,15840
ES0377992005,severity,0.35,0.02654306,33.56869143,15840
ES0377992005,severity,0.5,0.02654306,32.2961545,15840
ES0377992005,lag_m,0,0.74930493,29.39158215,264
ES0377992005,lag_m,12,0.37685231,33.61441865,15840
ES0377992005,lag_m,24,0.38677231,30.89336471,15840
ES0377992005,lag_m,6,0.02654306,35.36986977,15840
ES0377992005,advancing,0,0.02742762,34.03301032,24024
ES0377992005,advancing,1,0.02654306,32.60925653,23760
ES0377992005,call,maturity,0.02654306,33.53852341,47784
ES0377992005,trigger,as_filed,0.02654306,33.53852341,47784
ES0377992005,wac,0.01,0.08503868,30.99057912,15928
ES0377992005,wac,0.02,0.03668968,33.85230195,15928
ES0377992005,wac,0.03,0.02654306,34.75422925,15928
ES0377992005,wam_m,120.0,0.80961573,56.78011838,11946
ES0377992005,wam_m,180.0,0.02654306,20.58871568,11946
ES0377992005,wam_m,240.0,0.10607188,25.04798342,11946
ES0377992005,wam_m,300.0,0.0513889,30.70063206,11946
