isin,rank,S,S_smooth,C_filing,cpr_cfg_initial,cdr_cfg_initial,seam_level,seam_slope,roughness,terminal,prepay,default,severity,lag_m,advancing,call,trigger,wac,wam_m,index_shift,first_ipd_rate_annual,wal_years,dm_bp_at_ref,last_cf_date,state_mode
ES0380957003,19,0.35964409,0.22338896,0.13625512,0.08,0.05,-0.3916535,0.26447431,0.00706011,28.94041552,CPR 0.08,CDR 0.05,0.5,24,0,call_date,as_filed,0.0326,240.0,0.0,0.23406372,1.27503255,133.70099359,2027-12-20,pool_sub_implied
ES0380957003,20,0.35964409,0.22338896,0.13625512,0.08,0.05,-0.3916535,0.26447431,0.00706011,28.94041552,CPR 0.08,CDR 0.05,0.5,24,0,call_date,force_sequential,0.0326,240.0,0.0,0.23406372,1.27503255,133.70099359,2027-12-20,pool_sub_implied
ES0380957003,21,0.35964409,0.22338896,0.13625512,0.08,0.05,-0.3916535,0.26447431,0.00706011,28.94041552,CPR 0.08,CDR 0.05,0.5,24,1,clean_up,as_filed,0.0326,240.0,0.0,0.23406372,1.27503255,133.70099359,2027-12-20,pool_sub_implied
ES0380957003,22,0.35964409,0.22338896,0.13625512,0.08,0.05,-0.3916535,0.26447431,0.00706011,28.94041552,CPR 0.08,CDR 0.05,0.5,24,1,clean_up,force_sequential,0.0326,240.0,0.0,0.23406372,1.27503255,133.70099359,2027-12-20,pool_sub_implied
ES0380957003,23,0.35964409,0.22338896,0.13625512,0.08,0.05,-0.3916535,0.26447431,0.00706011,28.94041552,CPR 0.08,CDR 0.05,0.5,24,1,call_date,as_filed,0.0326,240.0,0.0,0.23406372,1.27503255,133.70099359,2027-12-20,pool_sub_implied
ES0380957003,24,0.35964409,0.22338896,0.13625512,0.08,0.05,-0.3916535,0.26447431,0.00706011,28.94041552,CPR 0.08,CDR 0.05,0.5,24,1,call_date,force_sequential,0.0326,240.0,0.0,0.23406372,1.27503255,133.70099359,2027-12-20,pool_sub_implied
ES0380957003,25,0.38550124,0.24924611,0.13625512,0.08,0.03,-0.38467445,0.31810056,0.0091497,28.87559064,CPR 0.08,CDR 0.03,0.2,24,0,call_date,as_filed,0.0326,240.0,0.0,0.23479525,1.27267126,133.9216162,2027-12-20,pool_sub_implied
ES0380957003,26,0.38550124,0.24924611,0.13625512,0.08,0.03,-0.38467445,0.31810056,0.0091497,28.87559064,CPR 0.08,CDR 0.03,0.2,24,0,call_date,force_sequential,0.0326,240.0,0.0,0.23479525,1.27267126,133.9216162,2027-12-20,pool_sub_implied
ES0380957003,27,0.38550124,0.24924611,0.13625512,0.08,0.03,-0.38467445,0.31810056,0.0091497,28.87559064,CPR 0.08,CDR 0.03,0.2,24,1,call_date,as_filed,0.0326,240.0,0.0,0.23479525,1.27267126,133.9216162,2027-12-20,pool_sub_implied
ES0380957003,28,0.38550124,0.24924611,0.13625512,0.08,0.03,-0.38467445,0.31810056,0.0091497,28.87559064,CPR 0.08,CDR 0.03,0.2,24,1,call_date,force_sequential,0.0326,240.0,0.0,0.23479525,1.27267126,133.9216162,2027-12-20,pool_sub_implied
ES0380957003,29,0.38550124,0.24924611,0.13625512,0.08,0.03,-0.38467445,0.31810056,0.0091497,28.87559064,CPR 0.08,CDR 0.03,0.35,24,0,call_date,as_filed,0.0326,240.0,0.0,0.23479525,1.27267126,133.9216162,2027-12-20,pool_sub_implied
ES0380957003,30,0.38550124,0.24924611,0.13625512,0.08,0.03,-0.38467445,0.31810056,0.0091497,28.87559064,CPR 0.08,CDR 0.03,0.35,24,0,call_date,force_sequential,0.0326,240.0,0.0,0.23479525,1.27267126,133.9216162,2027-12-20,pool_sub_implied
ES0380957003,31,0.38550124,0.24924611,0.13625512,0.08,0.03,-0.38467445,0.31810056,0.0091497,28.87559064,CPR 0.08,CDR 0.03,0.35,24,1,call_date,as_filed,0.0326,240.0,0.0,0.23479525,1.27267126,133.9216162,2027-12-20,pool_sub_implied
ES0380957003,32,0.38550124,0.24924611,0.13625512,0.08,0.03,-0.38467445,0.31810056,0.0091497,28.87559064,CPR 0.08,CDR 0.03,0.35,24,1,call_date,force_sequential,0.0326,240.0,0.0,0.23479525,1.27267126,133.9216162,2027-12-20,pool_sub_implied
ES0380957003,33,0.38550124,0.24924611,0.13625512,0.08,0.03,-0.38467445,0.31810056,0.0091497,28.87559064,CPR 0.08,CDR 0.03,0.5,24,0,call_date,as_filed,0.0326,240.0,0.0,0.23479525,1.27267126,133.9216162,2027-12-20,pool_sub_implied
ES0380957003,34,0.38550124,0.24924611,0.13625512,0.08,0.03,-0.38467445,0.31810056,0.0091497,28.87559064,CPR 0.08,CDR 0.03,0.5,24,0,call_date,force_sequential,0.0326,240.0,0.0,0.23479525,1.27267126,133.9216162,2027-12-20,pool_sub_implied
ES0380957003,35,0.38550124,0.24924611,0.13625512,0.08,0.03,-0.38467445,0.31810056,0.0091497,28.87559064,CPR 0.08,CDR 0.03,0.5,24,1,call_date,as_filed,0.0326,240.0,0.0,0.23479525,1.27267126,133.9216162,2027-12-20,pool_sub_implied
ES0380957003,36,0.38550124,0.24924611,0.13625512,0.08,0.03,-0.38467445,0.31810056,0.0091497,28.87559064,CPR 0.08,CDR 0.03,0.5,24,1,call_date,force_sequential,0.0326,240.0,0.0,0.23479525,1.27267126,133.9216162,2027-12-20,pool_sub_implied
ES0380957003,37,0.38551963,0.2492645,0.13625512,0.08,0.03,-0.38467445,0.31810056,0.01010487,28.76469174,CPR 0.08,CDR 0.03,0.2,24,0,clean_up,as_filed,0.0326,240.0,0.0,0.23479525,1.43257123,120.82067432,2028-03-20,pool_sub_implied
ES0380957003,38,0.38551963,0.2492645,0.13625512,0.08,0.03,-0.38467445,0.31810056,0.01010487,28.76469174,CPR 0.08,CDR 0.03,0.2,24,0,clean_up,force_sequential,0.0326,240.0,0.0,0.23479525,1.43257123,120.82067432,2028-03-20,pool_sub_implied
ES0380957003,39,0.38551963,0.2492645,0.13625512,0.08,0.03,-0.38467445,0.31810056,0.01010487,28.76469174,CPR 0.08,CDR 0.03,0.2,24,1,clean_up,as_filed,0.0326,240.0,0.0,0.23479525,1.43257123,120.82067432,2028-03-20,pool_sub_implied
ES0380957003,40,0.38551963,0.2492645,0.13625512,0.08,0.03,-0.38467445,0.31810056,0.01010487,28.76469174,CPR 0.08,CDR 0.03,0.2,24,1,clean_up,force_sequential,0.0326,240.0,0.0,0.23479525,1.43257123,120.82067432,2028-03-20,pool_sub_implied
ES0380957003,41,0.38551963,0.2492645,0.13625512,0.08,0.03,-0.38467445,0.31810056,0.01010487,28.76469174,CPR 0.08,CDR 0.03,0.35,24,0,clean_up,as_filed,0.0326,240.0,0.0,0.23479525,1.43257123,120.82067432,2028-03-20,pool_sub_implied
