isin,rank,S,S_smooth,C_filing,cpr_cfg_initial,cdr_cfg_initial,seam_level,seam_slope,roughness,terminal,prepay,default,severity,lag_m,advancing,call,trigger,wac,wam_m,index_shift,first_ipd_rate_annual,wal_years,dm_bp_at_ref,last_cf_date,state_mode
ES0377992005,1,0.02654306,0.02654306,0.0,0.14,0.00997125,-0.09499374,-0.02833117,0.12929267,0.0,CPR 0.14,SDA 200,0.2,6,1,maturity,as_filed,0.03,180.0,0.0,0.18469594,4.21202684,47.74408773,2043-10-26,proxy
ES0377992005,2,0.02654306,0.02654306,0.0,0.14,0.00997125,-0.09499374,-0.02833117,0.12929267,0.0,CPR 0.14,SDA 200,0.35,6,1,maturity,as_filed,0.03,180.0,0.0,0.18469594,4.21202729,47.74408409,2043-10-26,proxy
ES0377992005,3,0.02654306,0.02654306,0.0,0.14,0.00997125,-0.09499374,-0.02833117,0.12929267,0.0,CPR 0.14,SDA 200,0.5,6,1,maturity,as_filed,0.03,180.0,0.0,0.18469594,4.21202775,47.74408044,2043-10-26,proxy
ES0377992005,4,0.02742762,0.02742762,0.0,0.14,0.00997125,-0.09499374,-0.01288954,0.13504691,0.0,CPR 0.14,SDA 200,0.2,6,0,maturity,as_filed,0.03,180.0,0.0,0.18469594,4.20169953,47.82962815,2043-10-26,proxy
ES0377992005,5,0.02742762,0.02742762,0.0,0.14,0.00997125,-0.09499374,-0.01288954,0.13504691,0.0,CPR 0.14,SDA 200,0.35,6,0,maturity,as_filed,0.03,180.0,0.0,0.18469594,4.20169998,47.82962448,2043-10-26,proxy
ES0377992005,6,0.02742762,0.02742762,0.0,0.14,0.00997125,-0.09499374,-0.01288954,0.13504691,0.0,CPR 0.14,SDA 200,0.5,6,0,maturity,as_filed,0.03,180.0,0.0,0.18469594,4.20170044,47.82962082,2043-10-26,proxy
ES0377992005,7,0.03668968,0.03668968,0.0,0.14,0.00997125,0.13770052,-0.0217593,0.13135743,0.0,CPR 0.14,SDA 200,0.2,6,1,maturity,as_filed,0.02,180.0,0.0,0.1882513,4.14590159,48.31365511,2043-10-26,proxy
ES0377992005,8,0.03668968,0.03668968,0.0,0.14,0.00997125,0.13770052,-0.0217593,0.13135743,0.0,CPR 0.14,SDA 200,0.35,6,1,maturity,as_filed,0.02,180.0,0.0,0.1882513,4.14590201,48.3136516,2043-10-26,proxy
ES0377992005,9,0.03668968,0.03668968,0.0,0.14,0.00997125,0.13770052,-0.0217593,0.13135743,0.0,CPR 0.14,SDA 200,0.5,6,1,maturity,as_filed,0.02,180.0,0.0,0.1882513,4.14590244,48.31364809,2043-10-26,proxy
ES0377992005,10,0.03737244,0.03737244,0.0,0.14,0.00997125,0.13770052,-0.01143613,0.13520439,0.0,CPR 0.14,SDA 200,0.2,6,0,maturity,as_filed,0.02,180.0,0.0,0.1882513,4.13908038,48.37188976,2043-10-26,proxy
