isin,dimension,value,best_S,median_S,n
XS0260784318,prepay,ABS,57763.41042546,57827.00902033,3258
XS0260784318,prepay,CPR,0.74997115,25477.77938983,14118
XS0260784318,prepay,PSA,0.74997115,25270.18372912,6516
XS0260784318,prepay_setting,ABS 0.005,57763.41042546,57827.00902033,1086
XS0260784318,prepay_setting,ABS 0.01,57763.41042546,57827.00902033,1086
XS0260784318,prepay_setting,ABS 0.015,57763.41042546,57827.00902033,1086
XS0260784318,prepay_setting,CPR 0,39.93446544,25001.37088003,1086
XS0260784318,prepay_setting,CPR 0.02,16.94597562,24982.24881982,1086
XS0260784318,prepay_setting,CPR 0.04,3.84389143,24971.95949529,1086
XS0260784318,prepay_setting,CPR 0.06,0.74997115,24970.60440706,1086
XS0260784318,prepay_setting,CPR 0.08,7.79375265,24978.49268777,1086
XS0260784318,prepay_setting,CPR 0.1,25.11382378,25001.06827282,1086
XS0260784318,prepay_setting,CPR 0.12,52.85869596,25093.3620203,1086
XS0260784318,prepay_setting,CPR 0.14,91.18713449,25130.02172109,1086
XS0260784318,prepay_setting,CPR 0.16,140.26939238,25180.8522354,1086
XS0260784318,prepay_setting,CPR 0.18,200.2883209,25232.18166394,1086
XS0260784318,prepay_setting,CPR 0.2,271.44061654,25284.83776878,1086
XS0260784318,prepay_setting,CPR 0.25,499.45765846,25490.83318471,1086
XS0260784318,prepay_setting,CPR 0.3,802.23687865,25759.19040846,1086
XS0260784318,prepay_setting,PSA 100,0.74997115,24970.60440706,1086
XS0260784318,prepay_setting,PSA 150,15.16019003,24986.54836251,1086
XS0260784318,prepay_setting,PSA 200,52.85869596,25093.3620203,1086
XS0260784318,prepay_setting,PSA 300,200.2883209,25232.18166394,1086
XS0260784318,prepay_setting,PSA 400,448.00609524,25431.69779968,1086
XS0260784318,prepay_setting,PSA 50,9.15170481,24975.99487188,1086
XS0260784318,default,CDR,1.6950751,49543.32708824,14256
XS0260784318,default,SDA,0.75021342,49526.08010058,9504
XS0260784318,default,none,0.74997115,49525.97239607,132
XS0260784318,severity,0.0,0.74997115,49525.97239607,132
XS0260784318,severity,0.2,0.75021342,49531.87687465,7920
XS0260784318,severity,0.35,0.75021342,49531.87687465,7920
XS0260784318,severity,0.5,0.75021342,49531.87687465,7920
XS0260784318,lag_m,0,0.74997115,49525.97239607,132
XS0260784318,lag_m,12,0.75022347,49531.87687465,7920
XS0260784318,lag_m,24,0.75021342,49531.87687465,7920
XS0260784318,lag_m,6,0.75518938,49531.87687465,7920
XS0260784318,advancing,0,0.74997115,49531.87687465,12012
XS0260784318,advancing,1,0.75021342,49531.87687465,11880
XS0260784318,call,clean_up,49521.97239607,49671.31112343,11946
XS0260784318,call,maturity,0.74997115,183.57661488,11946
XS0260784318,trigger,as_filed,0.74997115,49530.92763975,7964
XS0260784318,trigger,force_pro_rata,0.74997115,49530.92763975,7964
XS0260784318,trigger,force_sequential,5.02844566,49534.92763975,7964
XS0260784318,wac,0.02996,0.74997115,49531.87687465,23892
XS0260784318,wam_m,149.87504213,0.74997115,49531.87687465,23892
