isin,rank,S,S_smooth,C_filing,cpr_cfg_initial,cdr_cfg_initial,seam_level,seam_slope,roughness,terminal,prepay,default,severity,lag_m,advancing,call,trigger,wac,wam_m,index_shift,first_ipd_rate_annual,wal_years,dm_bp_at_ref,last_cf_date,state_mode
XS0222684655,1,2.48021348,2.4209354,0.05927808,0.04,0.00015,-0.90445142,1.10899563,0.61076322,0.0,CPR 0.04,SDA 50,0.2,24,1,maturity,as_filed,0.03174,132.6,0.0,0.11138245,5.13082161,57.92809862,2058-05-15,pool
XS0222684655,2,2.48021348,2.4209354,0.05927808,0.04,0.00015,-0.90445142,1.10899563,0.61076322,0.0,CPR 0.04,SDA 50,0.2,24,1,maturity,force_pro_rata,0.03174,132.6,0.0,0.11138245,5.13082161,57.92809862,2058-05-15,pool
XS0222684655,3,2.48021348,2.4209354,0.05927808,0.04,0.00015,-0.90445142,1.10899563,0.61076322,0.0,CPR 0.04,SDA 50,0.35,24,1,maturity,as_filed,0.03174,132.6,0.0,0.11138245,5.1309045,57.92778484,2058-05-15,pool
XS0222684655,4,2.48021348,2.4209354,0.05927808,0.04,0.00015,-0.90445142,1.10899563,0.61076322,0.0,CPR 0.04,SDA 50,0.35,24,1,maturity,force_pro_rata,0.03174,132.6,0.0,0.11138245,5.1309045,57.92778484,2058-05-15,pool
XS0222684655,5,2.48021348,2.4209354,0.05927808,0.04,0.00015,-0.90445142,1.10899563,0.61076322,0.0,CPR 0.04,SDA 50,0.5,24,1,maturity,as_filed,0.03174,132.6,0.0,0.11138245,5.1309874,57.92747108,2058-05-15,pool
XS0222684655,6,2.48021348,2.4209354,0.05927808,0.04,0.00015,-0.90445142,1.10899563,0.61076322,0.0,CPR 0.04,SDA 50,0.5,24,1,maturity,force_pro_rata,0.03174,132.6,0.0,0.11138245,5.1309874,57.92747108,2058-05-15,pool
XS0222684655,7,2.48102737,2.42174929,0.05927808,0.04,0.00015,-0.90445142,1.10899563,0.61142915,0.0,CPR 0.04,SDA 50,0.2,12,1,maturity,as_filed,0.03174,132.6,0.0,0.11138245,5.12941668,57.9353645,2037-11-16,pool
XS0222684655,8,2.48102737,2.42174929,0.05927808,0.04,0.00015,-0.90445142,1.10899563,0.61142915,0.0,CPR 0.04,SDA 50,0.2,12,1,maturity,force_pro_rata,0.03174,132.6,0.0,0.11138245,5.12941668,57.9353645,2037-11-16,pool
XS0222684655,9,2.48102737,2.42174929,0.05927808,0.04,0.00015,-0.90445142,1.10899563,0.61142915,0.0,CPR 0.04,SDA 50,0.35,12,1,maturity,as_filed,0.03174,132.6,0.0,0.11138245,5.12941681,57.93536383,2038-02-15,pool
XS0222684655,10,2.48102737,2.42174929,0.05927808,0.04,0.00015,-0.90445142,1.10899563,0.61142915,0.0,CPR 0.04,SDA 50,0.35,12,1,maturity,force_pro_rata,0.03174,132.6,0.0,0.11138245,5.12941681,57.93536383,2038-02-15,pool
XS0222684655,11,2.48102737,2.42174929,0.05927808,0.04,0.00015,-0.90445142,1.10899563,0.61142915,0.0,CPR 0.04,SDA 50,0.5,12,1,maturity,as_filed,0.03174,132.6,0.0,0.11138245,5.12941714,57.93536218,2038-05-17,pool
XS0222684655,12,2.48102737,2.42174929,0.05927808,0.04,0.00015,-0.90445142,1.10899563,0.61142915,0.0,CPR 0.04,SDA 50,0.5,12,1,maturity,force_pro_rata,0.03174,132.6,0.0,0.11138245,5.12941714,57.93536218,2038-05-17,pool
XS0222684655,13,2.48117998,2.4219019,0.05927808,0.04,0.00015,-0.90445142,1.10899563,0.61155393,0.0,CPR 0.04,SDA 50,0.2,24,0,maturity,as_filed,0.03174,132.6,0.0,0.11138245,5.12999402,57.93182213,2037-08-17,pool
XS0222684655,14,2.48117998,2.4219019,0.05927808,0.04,0.00015,-0.90445142,1.10899563,0.61155393,0.0,CPR 0.04,SDA 50,0.2,24,0,maturity,force_pro_rata,0.03174,132.6,0.0,0.11138245,5.12999402,57.93182213,2037-08-17,pool
XS0222684655,15,2.48117998,2.4219019,0.05927808,0.04,0.00015,-0.90445142,1.10899563,0.61155393,0.0,CPR 0.04,SDA 50,0.35,24,0,maturity,as_filed,0.03174,132.6,0.0,0.11138245,5.12999402,57.93182213,2037-08-17,pool
XS0222684655,16,2.48117998,2.4219019,0.05927808,0.04,0.00015,-0.90445142,1.10899563,0.61155393,0.0,CPR 0.04,SDA 50,0.35,24,0,maturity,force_pro_rata,0.03174,132.6,0.0,0.11138245,5.12999402,57.93182213,2037-08-17,pool
XS0222684655,17,2.48117998,2.4219019,0.05927808,0.04,0.00015,-0.90445142,1.10899563,0.61155393,0.0,CPR 0.04,SDA 50,0.5,24,0,maturity,as_filed,0.03174,132.6,0.0,0.11138245,5.12999402,57.93182213,2037-08-17,pool
XS0222684655,18,2.48117998,2.4219019,0.05927808,0.04,0.00015,-0.90445142,1.10899563,0.61155393,0.0,CPR 0.04,SDA 50,0.5,24,0,maturity,force_pro_rata,0.03174,132.6,0.0,0.11138245,5.12999402,57.93182213,2037-08-17,pool
XS0222684655,19,2.4815138,2.42223572,0.05927808,0.04,0.00015,-0.90445142,1.10899563,0.6118268,0.0,CPR 0.04,SDA 50,0.2,12,0,maturity,as_filed,0.03174,132.6,0.0,0.11138245,5.1292513,57.93630399,2037-08-17,pool
