isin,deal,tranche,report_month,payment_date,accrual_start,accrual_end,accrual_days,day_basis,index_rate,margin_bp,coupon_rate,original_balance,beg_balance,principal_paid,end_balance,pool_factor,interest_paid,pdl_balance,n_notes,principal_per_note,denom_beg,denom_end,coll_beg_balance,coll_sched_principal,coll_prepayments,coll_repurchases,coll_cpr_reported,coll_deemed_losses,coll_recoveries,coll_end_balance,coll_end_balance_net,wac,arrears_90_365,cum_default_ratio,prorata_test,reserve_balance,coll_principal_total,coll_cpr_12m,next_coupon_rate,next_index_rate,source_url,source_section,parse_status
ES0380957003,F.T.A. UCI 15,A,2007-06,2007-06-18,,,,,,14,,1340600000.0,1114843630.3,61282713.74,1053560916.56,0.7858876,,,13406,,,,,,,,,,,,,,,,,,,,,,https://assets.santandermedia.com/adobe/assets/urn:aaid:aem:6cf79a51-1822-4af5-81b5-110fc7db6094/original/as/ES-U.C.I._15_June07-Archive_Quarterly_Reports-UCI_15-EN.pdf,"Bonds PRINCIPAL: previous balance 1,225,843,630.30 / amortised 61,282,713.74 / outstanding 1,164,560,916.56 (all classes)","PARTIAL: total-bond figures; Class A = total - B,C,D at par (B 32.9m, C 56.5m, D 21.6m; subordinates untouched in 2007)"
ES0380957003,F.T.A. UCI 15,A,2012-06,2012-06-18,2012-03-20,2012-06-18,90,,0.00862,14,0.01002,1340600000.0,649794450.52,8444305.34,641350145.18,0.4784053,1627756.52,,13406,629.89,48470.42,47840.53,785261406.89,,,,0.0421,,,775060598.02,,0.0299,89918329.62,,"FAIL (B,C not amortised)",,10200808.87,0.0312,0.00803,0.00663,https://assets.santandermedia.com/adobe/assets/urn:aaid:aem:5654f363-cc34-4260-92cc-88cb02900ab9/original/as/ES-U.C.I._15_Junio12-Informaci%C3%B3n_Peri%C3%B3dica-UCI_15.pdf,p.2 II. VALORES EMITIDOS; p.3 BONOS PRINCIPAL; p.4 DERECHOS,ok: issuer report; beg balance cross-checked vs trigger page (Serie A saldo)
ES0380957003,F.T.A. UCI 15,A,2026-06,2026-06-18,2026-03-18,2026-06-18,92,,0.021571,14,0.022971,1340600000.0,88627468.18,6827005.5,81800462.68,0.0610178,520286.86,,13406,509.25,6611.03,6101.78,187981997.18,,,,0.088,,,180964103.0,,0.0326,16277027.6,,"FAIL (B,C not amortised)",,7017894.18,0.0745,0.02548,0.02408,https://assets.santandermedia.com/adobe/assets/urn:aaid:aem:51f2945f-4fa2-4b4e-9757-af0f49e01ebf/original/as/ES-U.C.I._15_Junio26-Informacion_Periodica-UCI_15.pdf,p.2 II. VALORES EMITIDOS; p.3 BONOS PRINCIPAL; p.4 DERECHOS,ok: issuer report; beg balance cross-checked vs trigger page (Serie A saldo)
